"","cougar_clean.id","cougar_clean.observed_on","cougar_clean.latitude","cougar_clean.longitude"
"1",289285,"2013-03-02",34.1031508082,-118.2346835228
"2",293251,"2012-11-21",34.3334114481,-118.3329953282
"3",309082,"2013-04-02",34.0764616657,-118.2275391858
"4",2626557,"2016-01-28",34.2893093148,-118.3492990583
"5",2706684,"2016-02-20",34.3813913146,-118.132257626
"6",2972666,"2016-04-14",34.139882178,-118.2372489327
"7",2987331,"2016-04-16",34.1346337448,-117.6935587407
"8",2990519,"2016-04-20",34.082690011,-118.3150685521
"9",3277138,"2016-05-19",34.0743231175,-118.9427210942
"10",3499228,"2016-04-21",34.0114310059,-117.8710970525
"11",3616078,"2016-07-03",34.23869689,-118.2327550651
"12",4404295,"2016-09-16",34.32,-118.31
"13",4404322,"2016-09-22",34.32,-118.31
"14",4404424,"2016-10-04",34.32,-118.31
"15",4428822,"2016-10-21",34.1248597903,-118.3939918691
"16",4752639,"2016-12-10",34.2137860833,-118.3112390992
"17",4764472,"2016-12-10",34.2138249753,-118.3111266979
"18",5058865,"2016-04-03",34.1531176369,-117.9710197449
"19",5834974,"2017-04-18",34.0125395039,-118.3492182197
"20",5871195,"2017-04-17",34.2769650706,-117.7421378361
"21",6022917,"2017-04-17",34.32124,-118.31609
"22",6023430,"2017-04-09",34.32229,-118.31083
"23",6370312,"2015-12-08",34.0004976675,-118.2072730737
"24",6370315,"2015-12-13",34.1520958219,-118.2492785866
"25",7018314,"2017-07-11",34.3247119951,-118.6451489554
"26",7042565,"2017-07-13",34.4092116667,-118.669105
"27",7110240,"2017-07-16",34.2433463967,-118.0984354019
"28",7169082,"2013-06-17",34.3991666667,-118.0735
"29",8679765,"2017-09-10",34.2435980821,-118.2425835171
"30",8882353,"2017-04-09",34.3183276461,-118.3057151999
"31",9675524,"2017-11-09",34.111893,-118.37863
"32",11900690,"2018-04-29",34.1109916667,-118.5914388889
"33",12055800,"2018-05-02",34.0810509994,-118.7608575576
"34",18278663,"2018-11-08",34.0531654358,-118.8820953369
"35",20835987,"2018-12-27",34.33319,-118.30473
"36",24329750,"2019-04-29",34.414584,-117.859712
"37",26126220,"2011-01-27",34.3699535049,-118.2656813472
"38",30186317,"2019-03-25",34.32209,-118.31548
"39",34068137,"2019-09-24",34.1351495,-118.3419958
"40",34068138,"2019-09-26",34.1351495,-118.3419958
"41",35454407,"2019-10-25",34.1351495,-118.3419958
"42",35454409,"2019-10-25",34.1351495,-118.3419958
"43",35454410,"2019-10-25",34.1351495,-118.3419958
"44",35454411,"2019-10-25",34.1351495,-118.3419958
"45",35454412,"2019-10-25",34.1351495,-118.3419958
"46",35917413,"2019-11-20",34.4393920898,-118.0537948608
"47",35917440,"2019-11-20",34.4582604648,-118.0176667124
"48",35959021,"2019-11-20",34.1351495,-118.3419958
"49",35986507,"2019-10-27",34.33319,-118.30473
"50",36410968,"2019-12-05",34.1351495,-118.3419958
"51",38103173,"2020-01-16",34.3173526274,-118.0068969727
"52",38441932,"2020-02-08",34.1351495,-118.3419958
"53",38519646,"2017-06-10",34.3160047722,-118.2927669092
"54",38550278,"2020-02-10",34.3406267484,-117.9341709712
"55",38655665,"2017-02-16",34.3183807944,-118.3677821238
"56",38655742,"2017-03-16",34.38343657,-118.2090710541
"57",38656047,"2017-03-11",34.2377130922,-118.3324743257
"58",38656522,"2017-05-09",34.3871346996,-118.2766472145
"59",38656526,"2017-05-20",34.2640766148,-118.3904618592
"60",39265279,"2020-02-26",34.2228949104,-118.2101832357
"61",39289813,"2020-02-22",34.1351495,-118.3419958
"62",40672777,"2020-03-24",34.05594717,-118.617455
"63",42544170,"2020-04-15",34.0625445,-118.7901
"64",43022831,"2020-04-23",34.2506638361,-118.2987939064
"65",44140263,"2020-04-27",34.0857634688,-118.2706050604
"66",57050044,"2006-09-08",34.084644741,-118.7723967551
"67",58540518,"2020-08-31",34.3417226585,-118.5411344494
"68",58557058,"2020-07-19",34.0978972222,-118.705975
"69",60321490,"2020-09-21",34.2228267634,-118.2105385432
"70",62401287,"2020-10-09",34.1351533239,-118.3419960737
"71",62994687,"2020-10-17",34.1433043069,-118.3133935587
"72",64122609,"2020-11-02",34.1727791349,-118.0555951732
"73",64915404,"2020-11-08",34.2036491624,-118.1290785974
"74",65607080,"2020-11-25",34.2225492434,-118.2105597304
"75",65708057,"2020-11-27",34.0993395629,-118.7019632757
"76",66486760,"2020-12-12",34.1697596008,-117.9936226232
"77",66736643,"2020-12-17",34.1418405411,-117.8271995194
"78",67196256,"2020-11-28",34.1121677613,-118.7271139711
"79",67197759,"2020-12-26",34.1618601789,-118.6975781652
"80",67323907,"2020-12-29",34.075522039,-118.70862966
"81",67339373,"2020-11-05",34.32209,-118.31548
"82",69234056,"2021-02-06",34.3908166667,-118.1167833333
"83",69525107,"2021-01-22",34.2824055556,-118.1821888889
"84",69798544,"2021-02-18",34.3587952088,-118.5555171524
"85",69816774,"2021-02-18",34.1037361667,-118.5832583333
"86",70048855,"2021-02-23",34.5008245403,-118.6124554514
"87",70102104,"2021-02-03",34.1672484006,-118.7353611456
"88",71097533,"2021-03-12",34.1458471667,-118.3062533333
"89",72620276,"2021-04-01",34.5690753156,-118.6173144713
"90",78256713,"2021-05-09",34.1212527741,-118.7621854547
"91",80188609,"2021-05-24",34.3180000494,-118.0600000173
"92",82354166,"2021-06-08",34.1558249944,-118.0140008032
"93",82564155,"2021-04-05",34.32209,-118.31548
"94",82565341,"2021-05-14",34.32209,-118.31548
"95",82577932,"2020-05-15",34.1538008053,-118.1717351211
"96",86211425,"2021-07-08",34.0978278333,-118.5503916667
"97",86791010,"2021-07-12",34.1428028424,-118.3060916667
"98",88080640,"2021-07-21",34.0864721667,-118.576355
"99",92200153,"2021-08-22",34.1259890837,-118.351158072
"100",92808118,"2021-08-10",34.4238272256,-117.8083180386
"101",94670402,"2021-09-12",34.4063722222,-117.8678666667
"102",99891737,"2021-10-31",34.0844305,-118.5703583333
"103",101415480,"2021-11-17",34.1351533239,-118.3419960737
"104",102101246,"2021-11-28",34.0844416667,-118.5704116667
"105",102212657,"2021-11-23",34.7500385568,-118.5897978799
"106",102365998,"2019-12-31",34.0845531415,-118.6922738271
"107",104158532,"2022-01-01",34.2821466667,-117.9829416667
"108",104720712,"2022-01-09",34.2442942571,-118.0696658699
"109",104798988,"2022-01-09",34.4720943283,-118.3788684207
"110",105022029,"2021-12-01",34.32209,-118.31548
"111",105022288,"2021-11-02",34.32209,-118.31548
"112",106299134,"2019-12-21",34.1751943686,-118.0671310691
"113",106708526,"2022-02-13",34.4039027778,-117.869475
"114",106724771,"2022-02-13",34.1032597233,-118.5825834525
"115",106899962,"2022-02-04",34.1398363011,-117.7296491637
"116",108541974,"2022-03-13",34.3407466667,-118.3513716667
"117",108981606,"2022-03-17",34.2051913823,-118.1179009639
"118",109122047,"2022-03-10",34.3324673849,-118.2172226962
"119",117820458,"2019-10-14",34.3932665956,-118.5979195006
"120",118992171,"2022-05-27",34.330025,-118.444655
"121",125704747,"2022-07-09",34.0866932247,-118.5694535927
"122",126887935,"2022-07-18",34.270226328,-118.3590700381
"123",133646205,"2022-09-04",34.0061681263,-118.7046454803
"124",133780990,"2022-09-05",34.047888159,-118.7903829906
"125",134242292,"2022-09-06",34.149271,-118.204234
"126",135545233,"2022-09-18",34.1629225,-117.9027059
"127",137476410,"2022-10-03",34.1167923436,-118.6835901593
"128",137708879,"2022-10-03",34.1067392035,-118.6452461485
"129",138429659,"2022-10-11",34.092175,-118.58709667
"130",138565339,"2022-10-12",34.0013836268,-118.8613671853
"131",139483816,"2022-07-09",34.1769163774,-118.5228251088
"132",140826849,"2022-11-01",34.0931823,-118.5873146
"133",141076806,"2022-11-03",34.4131366667,-117.8545616667
"134",141292110,"2022-11-06",34.0602784396,-118.7408384765
"135",142973612,"2022-11-26",34.1108941218,-117.7429564447
"136",143315284,"2022-11-29",34.1365544,-118.2942
"137",144383057,"2022-12-12",34.3245160818,-118.4104141966
"138",144383833,"2022-12-14",34.2524230998,-118.2728557661
"139",144676781,"2022-12-19",34.0826695,-118.547005
"140",144713929,"2022-11-12",34.1414551564,-118.3393010974
"141",144835470,"2022-12-19",34.3556169076,-118.5739485909
