CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,CUMULATIVE RATE,WEEKLY RATE,AGE ADJUSTED CUMULATIVE RATE,AGE ADJUSTED WEEKLY RATE 
Entire Network,EIP,2020-21,2020,40,Overall,Female,Overall,null,null,null,null
Entire Network,EIP,2020-21,2020,40,Overall,Male,Overall,null,null,null,null
Entire Network,EIP,2020-21,2020,40,Overall,Overall,White,null,null,null,null
Entire Network,EIP,2020-21,2020,40,Overall,Overall,Black,null,null,null,null
Entire Network,EIP,2020-21,2020,40,Overall,Overall,Hispanic/Latino,null,null,null,null
Entire Network,EIP,2020-21,2020,40,Overall,Overall,Asian/Pacific Islander,null,null,null,null
Entire Network,EIP,2020-21,2020,40,Overall,Overall,American Indian/Alaska Native,null,null,null,null
Entire Network,EIP,2020-21,2020,40,Overall,Overall,Overall,null,null,null,null
California,EIP,2020-21,2020,40,Overall,Male,Overall,null,null,null,null
California,EIP,2020-21,2020,40,Overall,Female,Overall,null,null,null,null
California,EIP,2020-21,2020,40,Overall,Overall,White,null,null,null,null
California,EIP,2020-21,2020,40,Overall,Overall,Black,null,null,null,null
California,EIP,2020-21,2020,40,Overall,Overall,Hispanic/Latino,null,null,null,null
California,EIP,2020-21,2020,40,Overall,Overall,Asian/Pacific Islander,null,null,null,null
California,EIP,2020-21,2020,40,Overall,Overall,American Indian/Alaska Native,null,null,null,null
California,EIP,2020-21,2020,40,Overall,Overall,Overall,null,null,null,null
California,EIP,2020-21,2020,41,Overall,Male,Overall,null,null,null,null
California,EIP,2020-21,2020,41,Overall,Female,Overall,null,null,null,null
California,EIP,2020-21,2020,41,Overall,Overall,White,null,null,null,null
California,EIP,2020-21,2020,41,Overall,Overall,Black,null,null,null,null
California,EIP,2020-21,2020,41,Overall,Overall,Hispanic/Latino,null,null,null,null
California,EIP,2020-21,2020,41,Overall,Overall,Asian/Pacific Islander,null,null,null,null
California,EIP,2020-21,2020,41,Overall,Overall,American Indian/Alaska Native,null,null,null,null
California,EIP,2020-21,2020,41,Overall,Overall,Overall,null,null,null,null
Entire Network,EIP,2020-21,2020,41,Overall,Male,Overall,null,null,null,null
Entire Network,EIP,2020-21,2020,41,Overall,Female,Overall,null,null,null,null
Entire Network,EIP,2020-21,2020,41,Overall,Overall,White,null,null,null,null
Entire Network,EIP,2020-21,2020,41,Overall,Overall,Black,null,null,null,null
Entire Network,EIP,2020-21,2020,41,Overall,Overall,Hispanic/Latino,null,null,null,null
Entire Network,EIP,2020-21,2020,41,Overall,Overall,Asian/Pacific Islander,null,null,null,null
Entire Network,EIP,2020-21,2020,41,Overall,Overall,American Indian/Alaska Native,null,null,null,null
Entire Network,EIP,2020-21,2020,41,Overall,Overall,Overall,null,null,null,null
Entire Network,EIP,2020-21,2020,42,Overall,Male,Overall,null,null,null,null
Entire Network,EIP,2020-21,2020,42,Overall,Female,Overall,null,null,null,null
Entire Network,EIP,2020-21,2020,42,Overall,Overall,White,null,null,null,null
Entire Network,EIP,2020-21,2020,42,Overall,Overall,Black,null,null,null,null
Entire Network,EIP,2020-21,2020,42,Overall,Overall,Hispanic/Latino,null,null,null,null
Entire Network,EIP,2020-21,2020,42,Overall,Overall,Asian/Pacific Islander,null,null,null,null
Entire Network,EIP,2020-21,2020,42,Overall,Overall,American Indian/Alaska Native,null,null,null,null
Entire Network,EIP,2020-21,2020,42,Overall,Overall,Overall,null,null,null,null
California,EIP,2020-21,2020,42,Overall,Male,Overall,null,null,null,null
California,EIP,2020-21,2020,42,Overall,Female,Overall,null,null,null,null
California,EIP,2020-21,2020,42,Overall,Overall,White,null,null,null,null
California,EIP,2020-21,2020,42,Overall,Overall,Black,null,null,null,null
California,EIP,2020-21,2020,42,Overall,Overall,Hispanic/Latino,null,null,null,null
