CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,SEX CATEGORY,RACE CATEGORY,CUMULATIVE RATE,WEEKLY RATE,AGE ADJUSTED CUMULATIVE RATE,AGE ADJUSTED WEEKLY RATE 
Utah,IHSP,2020-21,2020,40,Overall,Overall,White,null,null,null,null
Utah,IHSP,2020-21,2020,40,Overall,Overall,Black,null,null,null,null
Utah,IHSP,2020-21,2020,40,Overall,Overall,Hispanic/Latino,null,null,null,null
Utah,IHSP,2020-21,2020,40,Overall,Overall,Asian/Pacific Islander,null,null,null,null
Utah,IHSP,2020-21,2020,40,Overall,Overall,American Indian/Alaska Native,null,null,null,null
Utah,IHSP,2020-21,2020,40,Overall,Overall,Overall,null,null,null,null
Utah,IHSP,2020-21,2020,41,Overall,Overall,White,null,null,null,null
Utah,IHSP,2020-21,2020,41,Overall,Overall,Black,null,null,null,null
Utah,IHSP,2020-21,2020,41,Overall,Overall,Hispanic/Latino,null,null,null,null
Utah,IHSP,2020-21,2020,41,Overall,Overall,Asian/Pacific Islander,null,null,null,null
Utah,IHSP,2020-21,2020,41,Overall,Overall,American Indian/Alaska Native,null,null,null,null
Utah,IHSP,2020-21,2020,41,Overall,Overall,Overall,null,null,null,null
Utah,IHSP,2020-21,2020,42,Overall,Overall,White,null,null,null,null
Utah,IHSP,2020-21,2020,42,Overall,Overall,Black,null,null,null,null
Utah,IHSP,2020-21,2020,42,Overall,Overall,Hispanic/Latino,null,null,null,null
Utah,IHSP,2020-21,2020,42,Overall,Overall,Asian/Pacific Islander,null,null,null,null
Utah,IHSP,2020-21,2020,42,Overall,Overall,American Indian/Alaska Native,null,null,null,null
Utah,IHSP,2020-21,2020,42,Overall,Overall,Overall,null,null,null,null
Utah,IHSP,2020-21,2020,43,Overall,Overall,White,null,null,null,null
Utah,IHSP,2020-21,2020,43,Overall,Overall,Black,null,null,null,null
Utah,IHSP,2020-21,2020,43,Overall,Overall,Hispanic/Latino,null,null,null,null
Utah,IHSP,2020-21,2020,43,Overall,Overall,Asian/Pacific Islander,null,null,null,null
Utah,IHSP,2020-21,2020,43,Overall,Overall,American Indian/Alaska Native,null,null,null,null
Utah,IHSP,2020-21,2020,43,Overall,Overall,Overall,null,null,null,null
Utah,IHSP,2020-21,2020,44,Overall,Overall,White,null,null,null,null
Utah,IHSP,2020-21,2020,44,Overall,Overall,Black,null,null,null,null
Utah,IHSP,2020-21,2020,44,Overall,Overall,Hispanic/Latino,null,null,null,null
Utah,IHSP,2020-21,2020,44,Overall,Overall,Asian/Pacific Islander,null,null,null,null
Utah,IHSP,2020-21,2020,44,Overall,Overall,American Indian/Alaska Native,null,null,null,null
Utah,IHSP,2020-21,2020,44,Overall,Overall,Overall,null,null,null,null
Utah,IHSP,2020-21,2020,45,Overall,Overall,White,null,null,null,null
Utah,IHSP,2020-21,2020,45,Overall,Overall,Black,null,null,null,null
Utah,IHSP,2020-21,2020,45,Overall,Overall,Hispanic/Latino,null,null,null,null
Utah,IHSP,2020-21,2020,45,Overall,Overall,Asian/Pacific Islander,null,null,null,null
Utah,IHSP,2020-21,2020,45,Overall,Overall,American Indian/Alaska Native,null,null,null,null
Utah,IHSP,2020-21,2020,45,Overall,Overall,Overall,null,null,null,null
Utah,IHSP,2020-21,2020,46,Overall,Overall,White,null,null,null,null
Utah,IHSP,2020-21,2020,46,Overall,Overall,Black,null,null,null,null
Utah,IHSP,2020-21,2020,46,Overall,Overall,Hispanic/Latino,null,null,null,null
Utah,IHSP,2020-21,2020,46,Overall,Overall,Asian/Pacific Islander,null,null,null,null
Utah,IHSP,2020-21,2020,46,Overall,Overall,American Indian/Alaska Native,null,null,null,null
Utah,IHSP,2020-21,2020,46,Overall,Overall,Overall,null,null,null,null
Utah,IHSP,2020-21,2020,47,Overall,Overall,White,null,null,null,null
Utah,IHSP,2020-21,2020,47,Overall,Overall,Black,null,null,null,null
Utah,IHSP,2020-21,2020,47,Overall,Overall,Hispanic/Latino,null,null,null,null
Utah,IHSP,2020-21,2020,47,Overall,Overall,Asian/Pacific Islander,null,null,null,null
Utah,IHSP,2020-21,2020,47,Overall,Overall,American Indian/Alaska Native,null,null,null,null
Utah,IHSP,2020-21,2020,47,Overall,Overall,Overall,null,null,null,null
Utah,IHSP,2020-21,2020,48,Overall,Overall,White,null,null,null,null
Utah,IHSP,2020-21,2020,48,Overall,Overall,Black,null,null,null,null
Utah,IHSP,2020-21,2020,48,Overall,Overall,Hispanic/Latino,null,null,null,null
Utah,IHSP,2020-21,2020,48,Overall,Overall,Asian/Pacific Islander,null,null,null,null
Utah,IHSP,2020-21,2020,48,Overall,Overall,American Indian/Alaska Native,null,null,null,null
Utah,IHSP,2020-21,2020,48,Overall,Overall,Overall,null,null,null,null
Utah,IHSP,2020-21,2020,49,Overall,Overall,White,null,null,null,null
Utah,IHSP,2020-21,2020,49,Overall,Overall,Black,null,null,null,null
Utah,IHSP,2020-21,2020,49,Overall,Overall,Hispanic/Latino,null,null,null,null
Utah,IHSP,2020-21,2020,49,Overall,Overall,Asian/Pacific Islander,null,null,null,null
Utah,IHSP,2020-21,2020,49,Overall,Overall,American Indian/Alaska Native,null,null,null,null
Utah,IHSP,2020-21,2020,49,Overall,Overall,Overall,null,null,null,null
Utah,IHSP,2020-21,2020,50,Overall,Overall,White,null,null,null,null
Utah,IHSP,2020-21,2020,50,Overall,Overall,Black,null,null,null,null
Utah,IHSP,2020-21,2020,50,Overall,Overall,Hispanic/Latino,null,null,null,null
Utah,IHSP,2020-21,2020,50,Overall,Overall,Asian/Pacific Islander,null,null,null,null
Utah,IHSP,2020-21,2020,50,Overall,Overall,American Indian/Alaska Native,null,null,null,null
Utah,IHSP,2020-21,2020,50,Overall,Overall,Overall,null,null,null,null
Utah,IHSP,2020-21,2020,51,Overall,Overall,White,null,null,null,null
Utah,IHSP,2020-21,2020,51,Overall,Overall,Black,null,null,null,null
Utah,IHSP,2020-21,2020,51,Overall,Overall,Hispanic/Latino,null,null,null,null
Utah,IHSP,2020-21,2020,51,Overall,Overall,Asian/Pacific Islander,null,null,null,null
Utah,IHSP,2020-21,2020,51,Overall,Overall,American Indian/Alaska Native,null,null,null,null
Utah,IHSP,2020-21,2020,51,Overall,Overall,Overall,null,null,null,null
Utah,IHSP,2020-21,2020,52,Overall,Overall,White,null,null,null,null
Utah,IHSP,2020-21,2020,52,Overall,Overall,Black,null,null,null,null
Utah,IHSP,2020-21,2020,52,Overall,Overall,Hispanic/Latino,null,null,null,null
Utah,IHSP,2020-21,2020,52,Overall,Overall,Asian/Pacific Islander,null,null,null,null
Utah,IHSP,2020-21,2020,52,Overall,Overall,American Indian/Alaska Native,null,null,null,null
Utah,IHSP,2020-21,2020,52,Overall,Overall,Overall,null,null,null,null
Utah,IHSP,2020-21,2020,53,Overall,Overall,White,null,null,null,null
Utah,IHSP,2020-21,2020,53,Overall,Overall,Black,null,null,null,null
Utah,IHSP,2020-21,2020,53,Overall,Overall,Hispanic/Latino,null,null,null,null
Utah,IHSP,2020-21,2020,53,Overall,Overall,Asian/Pacific Islander,null,null,null,null
Utah,IHSP,2020-21,2020,53,Overall,Overall,American Indian/Alaska Native,null,null,null,null
Utah,IHSP,2020-21,2020,53,Overall,Overall,Overall,null,null,null,null
Utah,IHSP,2020-21,2021,1,Overall,Overall,White,null,null,null,null
Utah,IHSP,2020-21,2021,1,Overall,Overall,Black,null,null,null,null
Utah,IHSP,2020-21,2021,1,Overall,Overall,Hispanic/Latino,null,null,null,null
Utah,IHSP,2020-21,2021,1,Overall,Overall,Asian/Pacific Islander,null,null,null,null
Utah,IHSP,2020-21,2021,1,Overall,Overall,American Indian/Alaska Native,null,null,null,null
Utah,IHSP,2020-21,2021,1,Overall,Overall,Overall,null,null,null,null
Utah,IHSP,2020-21,2021,2,Overall,Overall,White,null,null,null,null
Utah,IHSP,2020-21,2021,2,Overall,Overall,Black,null,null,null,null
Utah,IHSP,2020-21,2021,2,Overall,Overall,Hispanic/Latino,null,null,null,null
Utah,IHSP,2020-21,2021,2,Overall,Overall,Asian/Pacific Islander,null,null,null,null
Utah,IHSP,2020-21,2021,2,Overall,Overall,American Indian/Alaska Native,null,null,null,null
Utah,IHSP,2020-21,2021,2,Overall,Overall,Overall,null,null,null,null
Utah,IHSP,2020-21,2021,3,Overall,Overall,White,null,null,null,null
Utah,IHSP,2020-21,2021,3,Overall,Overall,Black,null,null,null,null
Utah,IHSP,2020-21,2021,3,Overall,Overall,Hispanic/Latino,null,null,null,null
Utah,IHSP,2020-21,2021,3,Overall,Overall,Asian/Pacific Islander,null,null,null,null
Utah,IHSP,2020-21,2021,3,Overall,Overall,American Indian/Alaska Native,null,null,null,null
Utah,IHSP,2020-21,2021,3,Overall,Overall,Overall,null,null,null,null
Utah,IHSP,2020-21,2021,4,Overall,Overall,White,null,null,null,null
Utah,IHSP,2020-21,2021,4,Overall,Overall,Black,null,null,null,null
Utah,IHSP,2020-21,2021,4,Overall,Overall,Hispanic/Latino,null,null,null,null
Utah,IHSP,2020-21,2021,4,Overall,Overall,Asian/Pacific Islander,null,null,null,null
Utah,IHSP,2020-21,2021,4,Overall,Overall,American Indian/Alaska Native,null,null,null,null
Utah,IHSP,2020-21,2021,4,Overall,Overall,Overall,null,null,null,null
Utah,IHSP,2020-21,2021,5,Overall,Overall,White,null,null,null,null
Utah,IHSP,2020-21,2021,5,Overall,Overall,Black,null,null,null,null
Utah,IHSP,2020-21,2021,5,Overall,Overall,Hispanic/Latino,null,null,null,null
Utah,IHSP,2020-21,2021,5,Overall,Overall,Asian/Pacific Islander,null,null,null,null
Utah,IHSP,2020-21,2021,5,Overall,Overall,American Indian/Alaska Native,null,null,null,null
Utah,IHSP,2020-21,2021,5,Overall,Overall,Overall,null,null,null,null
Utah,IHSP,2020-21,2021,6,Overall,Overall,Overall,null,null,null,null
Utah,IHSP,2020-21,2021,6,Overall,Overall,White,null,null,null,null
Utah,IHSP,2020-21,2021,6,Overall,Overall,Black,null,null,null,null
Utah,IHSP,2020-21,2021,6,Overall,Overall,Hispanic/Latino,null,null,null,null
Utah,IHSP,2020-21,2021,6,Overall,Overall,Asian/Pacific Islander,null,null,null,null
Utah,IHSP,2020-21,2021,6,Overall,Overall,American Indian/Alaska Native,null,null,null,null
Utah,IHSP,2020-21,2021,7,Overall,Overall,White,null,null,null,null
Utah,IHSP,2020-21,2021,7,Overall,Overall,Black,null,null,null,null
Utah,IHSP,2020-21,2021,7,Overall,Overall,Hispanic/Latino,null,null,null,null
Utah,IHSP,2020-21,2021,7,Overall,Overall,Asian/Pacific Islander,null,null,null,null
Utah,IHSP,2020-21,2021,7,Overall,Overall,American Indian/Alaska Native,null,null,null,null
Utah,IHSP,2020-21,2021,7,Overall,Overall,Overall,null,null,null,null
Utah,IHSP,2020-21,2021,8,Overall,Overall,White,null,null,null,null
Utah,IHSP,2020-21,2021,8,Overall,Overall,Black,null,null,null,null
Utah,IHSP,2020-21,2021,8,Overall,Overall,Hispanic/Latino,null,null,null,null
Utah,IHSP,2020-21,2021,8,Overall,Overall,Asian/Pacific Islander,null,null,null,null
