system:index,COUNTY_NAM,mean
201501_00000000000000000000,Alameda,9.78106577166228
201501_00000000000000000001,Alpine,-0.3342280331336236
201501_00000000000000000002,Amador,7.134228617918583
201501_00000000000000000003,Butte,8.788047913419579
201501_00000000000000000004,Calaveras,7.690699748960374
201501_00000000000000000005,Colusa,10.225115138310196
201501_00000000000000000006,Contra Costa,9.77167597890692
201501_00000000000000000007,Del Norte,8.662253503823
201501_00000000000000000008,El Dorado,5.675378283012649
201501_00000000000000000009,Fresno,6.338451090104584
201501_0000000000000000000a,Glenn,9.50777557932272
201501_0000000000000000000b,Humboldt,8.821323400744085
201501_0000000000000000000c,Imperial,14.661475827249346
201501_0000000000000000000d,Inyo,6.4561388178047565
201501_0000000000000000000e,Kern,9.696941393701424
201501_0000000000000000000f,Kings,10.902614119353817
201501_00000000000000000010,Lake,8.78137748558794
201501_00000000000000000011,Lassen,1.0529802739353342
201501_00000000000000000012,Los Angeles,11.51862220327752
201501_00000000000000000043,Los Angeles,16.08151391257705
201501_00000000000000000044,Los Angeles,15.645961840399401
201501_00000000000000000013,Madera,5.818080621211969
201501_00000000000000000014,Marin,10.618598446603572
201501_00000000000000000015,Mariposa,5.886516705854405
201501_00000000000000000016,Mendocino,9.232570997459073
201501_00000000000000000017,Merced,9.69513369227577
201501_00000000000000000018,Modoc,1.0079727532314628
201501_00000000000000000019,Mono,-1.0452824292102576
201501_0000000000000000001a,Monterey,11.1876942677291
201501_0000000000000000001b,Napa,10.289318836415916
201501_0000000000000000001c,Nevada,5.103399128474185
201501_0000000000000000001d,Orange,14.04565642901435
201501_0000000000000000001e,Placer,5.5391943157213
201501_0000000000000000001f,Plumas,1.393363533299069
201501_00000000000000000020,Riverside,12.383108830117688
201501_00000000000000000021,Sacramento,9.176902098384007
201501_00000000000000000022,San Benito,10.332377204915648
201501_00000000000000000023,San Bernardino,10.606958757761793
201501_00000000000000000024,San Diego,12.602326789976066
201501_00000000000000000025,San Francisco,10.930650892685554
201501_00000000000000000026,San Joaquin,9.097942827177771
201501_00000000000000000027,San Luis Obispo,11.548719921654229
201501_00000000000000000028,San Mateo,11.400510264680062
201501_00000000000000000029,Santa Barbara,12.254384774104693
201501_0000000000000000003a,Santa Barbara,
201501_0000000000000000003b,Santa Barbara,15.888146972656273
201501_0000000000000000003c,Santa Barbara,15.414001929118614
201501_0000000000000000003d,Santa Barbara,15.260675048828148
201501_0000000000000000003e,Santa Barbara,15.560315965285929
201501_0000000000000000002a,Santa Clara,10.430002097226721
201501_0000000000000000002b,Santa Cruz,11.886004599573178
201501_0000000000000000002c,Shasta,5.924180333912922
201501_0000000000000000002d,Sierra,1.3011013781616125
201501_0000000000000000002e,Siskiyou,3.463035407191267
201501_0000000000000000002f,Solano,10.203824410172572
201501_00000000000000000030,Sonoma,10.201650962735403
201501_00000000000000000031,Stanislaus,9.376687093737573
201501_00000000000000000032,Sutter,10.049971975635179
201501_00000000000000000033,Tehama,8.580078457547227
201501_00000000000000000034,Trinity,5.423698829212067
201501_00000000000000000035,Tulare,5.657730359223677
201501_00000000000000000036,Tuolumne,3.209371488865475
201501_00000000000000000037,Ventura,11.009209801773453
201501_0000000000000000003f,Ventura,15.743658315535093
201501_00000000000000000040,Ventura,15.271936035156273
201501_00000000000000000041,Ventura,15.271936035156273
201501_00000000000000000042,Ventura,
201501_00000000000000000038,Yolo,10.489510596564077
201501_00000000000000000039,Yuba,9.0617592937996
201502_00000000000000000000,Alameda,13.183467966437583
201502_00000000000000000001,Alpine,2.3466831493754863
201502_00000000000000000002,Amador,10.410178455114677
201502_00000000000000000003,Butte,11.65844474024897
201502_00000000000000000004,Calaveras,10.99050472305118
201502_00000000000000000005,Colusa,12.953044225976678
201502_00000000000000000006,Contra Costa,13.382741352948681
201502_00000000000000000007,Del Norte,10.09155301971898
201502_00000000000000000008,El Dorado,8.559798282882292
201502_00000000000000000009,Fresno,9.542462386393307
201502_0000000000000000000a,Glenn,11.977782711807993
