system:index,IDDIST,mean
20100101_00000000000000000004,170201,22.235130029319283
20100101_00000000000000000005,170203,24.32410673879578
20100101_00000000000000000006,170204,22.86234696668728
20100101_00000000000000000009,170202,24.23277323498478
20100101_00000000000000000000,170302,25.401198862238186
20100101_00000000000000000008,170303,25.467483117123418
20100101_0000000000000000000a,170301,25.19501343132402
20100101_00000000000000000001,170101,25.19297645937467
20100101_00000000000000000002,170104,25.45073449434981
20100101_00000000000000000003,170102,24.46830810567894
20100101_00000000000000000007,170103,25.60043252724931
20100102_00000000000000000004,170201,22.88055361646098
20100102_00000000000000000005,170203,25.061094702006276
20100102_00000000000000000006,170204,23.29578057678294
20100102_00000000000000000009,170202,25.318960279721946
20100102_00000000000000000000,170302,26.369386234777203
20100102_00000000000000000008,170303,26.448666584923522
20100102_0000000000000000000a,170301,26.23608910345997
20100102_00000000000000000001,170101,26.26074114869547
20100102_00000000000000000002,170104,26.54048672563315
20100102_00000000000000000003,170102,25.530344338201495
20100102_00000000000000000007,170103,26.678357200414894
20100103_00000000000000000004,170201,23.17350659061686
20100103_00000000000000000005,170203,25.571372412615176
20100103_00000000000000000006,170204,23.911420520220545
20100103_00000000000000000009,170202,25.807525156860894
20100103_00000000000000000000,170302,26.613212863573604
20100103_00000000000000000008,170303,26.699888711133813
20100103_0000000000000000000a,170301,26.428988902333067
20100103_00000000000000000001,170101,26.632915055646226
20100103_00000000000000000002,170104,27.16489695084723
20100103_00000000000000000003,170102,26.169020407823073
20100103_00000000000000000007,170103,27.037171549050427
20100104_00000000000000000004,170201,21.815757680200534
20100104_00000000000000000005,170203,23.633678086214754
20100104_00000000000000000006,170204,22.748891542501074
20100104_00000000000000000009,170202,24.398634981405
20100104_00000000000000000000,170302,25.041289659886154
20100104_00000000000000000008,170303,24.896175831187445
20100104_0000000000000000000a,170301,25.374150466936424
20100104_00000000000000000001,170101,24.77288187559557
20100104_00000000000000000002,170104,24.568948399173696
20100104_00000000000000000003,170102,24.07959031534824
20100104_00000000000000000007,170103,24.936022123373878
20100105_00000000000000000004,170201,22.140794819903803
20100105_00000000000000000005,170203,24.279100037767282
20100105_00000000000000000006,170204,23.561621921744493
20100105_00000000000000000009,170202,23.704313860119687
20100105_00000000000000000000,170302,25.297440682977257
20100105_00000000000000000008,170303,25.240519119679778
20100105_0000000000000000000a,170301,25.173459078328516
20100105_00000000000000000001,170101,24.7558580913791
20100105_00000000000000000002,170104,25.160161206165
20100105_00000000000000000003,170102,24.83234707565447
20100105_00000000000000000007,170103,25.212430072968868
20100106_00000000000000000004,170201,22.558616272120513
20100106_00000000000000000005,170203,25.408958707901572
20100106_00000000000000000006,170204,24.322242794428714
20100106_00000000000000000009,170202,24.609463656282358
20100106_00000000000000000000,170302,26.17269893186593
20100106_00000000000000000008,170303,26.288173425555556
20100106_0000000000000000000a,170301,25.828216624291084
20100106_00000000000000000001,170101,25.91438005170972
20100106_00000000000000000002,170104,26.549164493795896
20100106_00000000000000000003,170102,25.881444397059216
20100106_00000000000000000007,170103,26.48951352011072
20100107_00000000000000000004,170201,23.356144959479913
20100107_00000000000000000005,170203,25.990674928421758
20100107_00000000000000000006,170204,24.817506115707555
20100107_00000000000000000009,170202,26.043990252017746
20100107_00000000000000000000,170302,26.918352773689865
20100107_00000000000000000008,170303,26.99567321124014
20100107_0000000000000000000a,170301,26.637092306376125
20100107_00000000000000000001,170101,26.952932014752236
20100107_00000000000000000002,170104,27.36193577930727
20100107_00000000000000000003,170102,26.799312661405416
20100107_00000000000000000007,170103,27.26005635566361
20100108_00000000000000000004,170201,23.391916036256088
20100108_00000000000000000005,170203,25.52886285537534
20100108_00000000000000000006,170204,23.903226642051436
20100108_00000000000000000009,170202,26.117703552091534
20100108_00000000000000000000,170302,27.332221174558196
20100108_00000000000000000008,170303,27.415920879038232
20100108_0000000000000000000a,170301,27.02281764084806
20100108_00000000000000000001,170101,27.10525055572981
20100108_00000000000000000002,170104,27.20576614605772
20100108_00000000000000000003,170102,25.885847732712108
20100108_00000000000000000007,170103,27.614839991954202
20100109_00000000000000000004,170201,22.686718547848354
20100109_00000000000000000005,170203,24.643330804909546
20100109_00000000000000000006,170204,23.25780822133287
20100109_00000000000000000009,170202,24.663374338225772
20100109_00000000000000000000,170302,26.095716962679543
20100109_00000000000000000008,170303,26.159090435191942
20100109_0000000000000000000a,170301,26.015381186616093
20100109_00000000000000000001,170101,25.68790679825364
20100109_00000000000000000002,170104,25.702179502864098
20100109_00000000000000000003,170102,24.67139984981457
20100109_00000000000000000007,170103,26.175643029192262
20100110_00000000000000000004,170201,21.189546854664638
20100110_00000000000000000005,170203,23.41820550885762
20100110_00000000000000000006,170204,22.396526381286982
