"Year
","Week
","From
","To
","ILI consultation rate (per 1,000 consultations)",,Laboratory surveillance,,,,,,,,No. of ILI outbreaks in schools/institutions,,"Admission rates in public hospitals with principal diagnosis of influenza (per 10,000 people in the age group)",,,,,,,"ILI syndrome group in AED of public hospitals (per 1,000 coded cases)",Percentage of children at sentinel KG/CCC having fever,Percentage of residents at sentinel RCHE having fever,"ILI consultation rate at sentinel CMP (per 1,000 consultations)","Weekly number of severe influenza cases by age groups*
",,,
,,,,Sentinel GOPC^,Sentinel PMP,No. of positive detections of seasonal influenza viruses,,,,Positive% for influenza among all respiratory specimens,,,,"Schools (KG/CCC, PS and SS)",Institutions other than schools,0-5 years,6-11 years,12-17 years,18-49 years,50-64 years,65 years or above,All ages,,,,,0-17 years,18-49 years,50-64 years,65 years or above
,,,,,,A(H1),A(H3),B,All infleunza A and B viruses,A(H1),A(H3),B,All infleunza A and B viruses,,,,,,,,,,,,,,,,,
2014,1,12/29/2013,1/4/2014,,45.0,93,111,64,268,4.30%,5.13%,2.96%,12.38%,0,2,1.703,0.425,0.052,0.084,0.158,0.404,0.234,198,Temporarily suspended,0.09%,3.86,0,1,3,1
2014,2,1/5/2014,1/11/2014,,43.8,230,140,109,479,9.54%,5.80%,4.52%,19.86%,4,3,2.447,0.655,0.104,0.128,0.217,0.63,0.347,204.1,0.88%,0.11%,4.90,2,2,4,8
2014,3,1/12/2014,1/18/2014,,52.9,249,144,104,497,10.79%,6.24%,4.51%,21.54%,23,2,2.787,1.244,0.078,0.096,0.24,0.78,0.398,205,1.04%,0.12%,4.27,2,3,3,5
2014,4,1/19/2014,1/25/2014,,50.6,305,169,127,601,11.78%,6.53%,4.91%,23.21%,16,3,3.283,0.884,0.129,0.105,0.205,0.743,0.398,218.1,1.27%,0.09%,4.60,4,7,9,5
2014,5,1/26/2014,2/1/2014,,48.3,321,171,179,671,12.00%,6.39%,6.69%,25.07%,7,3,3.314,0.687,0.311,0.174,0.334,1.062,0.512,254.1,Temporarily suspended,0.11%,0.17,1,3,5,17
2014,6,2/2/2014,2/8/2014,,59.5,394,177,202,773,12.95%,5.82%,6.64%,25.41%,0,4,3.159,0.393,0.155,0.166,0.339,1.09,0.487,238.1,Temporarily suspended,0.10%,3.92,2,8,5,15
2014,7,2/9/2014,2/15/2014,,35.5,405,168,181,754,15.65%,6.49%,6.99%,29.13%,2,3,2.416,0.36,0.104,0.137,0.222,0.912,0.38,186.1,0.71%,0.06%,3.39,2,8,11,11
2014,8,2/16/2014,2/22/2014,,47.2,431,206,267,904,14.97%,7.16%,9.27%,31.40%,19,10,3.314,1.276,0.233,0.102,0.257,1.062,0.48,200.3,1.14%,0.11%,2.58,3,6,8,8
2014,9,2/23/2014,3/1/2014,,47.9,411,178,291,880,14.26%,6.18%,10.10%,30.53%,28,5,2.725,1.276,0.311,0.148,0.281,0.987,0.474,207.7,1.28%,0.11%,3.04,2,3,6,15
2014,10,3/2/2014,3/8/2014,,37.5,229,131,291,651,9.10%,5.21%,11.57%,25.87%,17,9,2.23,0.785,0.155,0.154,0.252,0.837,0.397,195.2,0.88%,0.11%,2.87,0,4,9,9
2014,11,3/9/2014,3/15/2014,,55.3,122,78,288,488,5.01%,3.21%,11.84%,20.06%,11,3,1.518,0.556,0.259,0.061,0.181,0.649,0.273,200.5,0.95%,0.09%,2.87,1,3,3,7
2014,12,3/16/2014,3/22/2014,,51.4,110,60,299,469,4.31%,2.35%,11.71%,18.37%,9,3,1.332,0.655,0.104,0.076,0.14,0.63,0.255,208.4,1.06%,0.15%,3.04,0,1,2,13
2014,13,3/23/2014,3/29/2014,,47.8,61,53,297,411,2.41%,2.09%,11.73%,16.23%,7,2,1.208,0.491,0.026,0.047,0.1,0.62,0.213,205.4,1.14%,0.13%,2.82,2,1,0,10
2014,14,3/30/2014,4/5/2014,,45.2,46,40,189,275,2.10%,1.83%,8.65%,12.58%,3,0,1.084,0.295,0.052,0.035,0.094,0.367,0.156,201.3,1.27%,0.11%,2.55,0,2,2,6
2014,15,4/6/2014,4/12/2014,,43.7,38,53,196,287,1.49%,2.08%,7.68%,11.25%,7,2,0.774,0.229,0.026,0.047,0.088,0.414,0.149,200.4,0.95%,0.11%,3.54,1,1,3,3
2014,16,4/13/2014,4/19/2014,,43.8,26,21,161,208,1.13%,0.91%,6.97%,9.01%,0,1,0.527,0.262,0.026,0.017,0.082,0.348,0.115,201.5,1.04%,0.11%,2.85,0,0,0,3
